Data,Dia da Semana,Feriado,Year
11/15/2027,segunda-feira,Proclamação da República,2027
12/25/2027,sábado,Natal,2027
1/1/2028,sábado,Confraternização Universal,2028
2/28/2028,segunda-feira,Carnaval,2028
2/29/2028,terça-feira,Carnaval,2028
4/14/2028,sexta-feira,Paixão de Cristo,2028
4/21/2028,sexta-feira,Tiradentes,2028
5/1/2028,segunda-feira,Dia do Trabalho,2028
6/15/2028,quinta-feira,Corpus Christi,2028
9/7/2028,quinta-feira,Independência do Brasil,2028
10/12/2028,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil,2028
11/2/2028,quinta-feira,Finados,2028
11/15/2028,quarta-feira,Proclamação da República,2028
12/25/2028,segunda-feira,Natal,2028
1/1/2029,segunda-feira,Confraternização Universal,2029
2/12/2029,segunda-feira,Carnaval,2029
2/13/2029,terça-feira,Carnaval,2029
3/30/2029,sexta-feira,Paixão de Cristo,2029
4/21/2029,sábado,Tiradentes,2029
5/1/2029,terça-feira,Dia do Trabalho,2029
5/31/2029,quinta-feira,Corpus Christi,2029
9/7/2029,sexta-feira,Independência do Brasil,2029
10/12/2029,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil,2029
11/2/2029,sexta-feira,Finados,2029
11/15/2029,quinta-feira,Proclamação da República,2029
12/25/2029,terça-feira,Natal,2029
